Restaurant,Item,Category,Calories,Protein (g),Total Fat (g),Sodium (mg),Sugar (mg),Healthiness Score
McDonalds,McVeggie Burger,regular,402.00 ,10.24 ,13.83 ,706.13 ,7.90 ,38.00 
McDonalds,McAloo Tikki Burger,regular,339.00 ,8.50 ,11.31 ,545.34 ,7.05 ,44.48 
McDonalds,McSpicyÂ™ Paneer Burger,regular,652.00 ,20.29 ,39.45 ,1074.58 ,8.35 ,38.30 
McDonalds,Spicy Paneer Wrap,regular,674.00 ,20.96 ,39.10 ,1087.46 ,3.50 ,48.00 
McDonalds,American Veg Burger,regular,512.00 ,15.30 ,23.45 ,1051.24 ,7.85 ,35.78 
McDonalds,Veg Maharaja MacÂ ,regular,832.00 ,24.17 ,37.94 ,1529.22 ,11.52 ,35.00 
McDonalds,Green Chilli Aloo Naan p,regular,356.00 ,7.91 ,15.08 ,579.60 ,4.53 ,42.63 
McDonalds,Pizza PuffÂ ,regular,228.00 ,5.45 ,11.44 ,390.74 ,2.73 ,54.81 
McDonalds,Mc chicken BurgerÂ ,regular,400.00 ,15.66 ,15.70 ,766.33 ,5.53 ,46.45 
McDonalds,FILLET-O-FISH BurgerÂ ,regular,348.00 ,15.44 ,14.16 ,530.54 ,5.88 ,46.60 
McDonalds,Â Mc Spicy Chicken BurgerÂ ,regular,451.00 ,21.46 ,19.36 ,928.52 ,2.52 ,51.92 
McDonalds,Â Spicy Chicken WrapÂ ,regular,567.00 ,23.74 ,26.89 ,1152.38 ,8.92 ,37.16 
McDonalds,Â Chicken Maharaja MacÂ ,regular,689.00 ,34.00 ,36.69 ,1854.71 ,7.48 ,40.04 
McDonalds,American Chicken BurgerÂ ,regular,446.00 ,20.29 ,22.94 ,1132.30 ,5.08 ,47.00 
McDonalds,Chicken Kebab BurgerÂ ,regular,357.00 ,8.64 ,14.02 ,548.79 ,3.64 ,48.79 
McDonalds,Green Chilli Kebab naan,regular,230.00 ,5.67 ,9.32 ,410.78 ,4.89 ,57.94 
McDonalds,Mc Egg Masala Burger,regular,290.00 ,12.45 ,12.27 ,757.91 ,4.66 ,56.28 
McDonalds,Mc Egg Burger for Happy Meal,regular,282.00 ,12.29 ,12.21 ,399.41 ,3.28 ,63.30 
McDonalds,Ghee Rice with Mc Spicy Fried Chicken 1 pc,regular,720.00 ,26.91 ,29.20 ,2399.49 ,0.58 ,56.91 
McDonalds,McSpicy Fried Chicken 1 pc,regular,248.00 ,17.33 ,14.29 ,873.89 ,0.32 ,73.04 
McDonalds,4 piece Chicken McNuggetsÂ ,regular,169.00 ,10.03 ,9.54 ,313.25 ,0.72 ,71.96 
McDonalds,6 piece Chicken McNuggetsÂ ,regular,254.00 ,15.04 ,14.30 ,469.87 ,0.29 ,61.75 
McDonalds,9 piece Chicken McNuggetsÂ ,regular,381.00 ,22.56 ,21.46 ,704.81 ,0.44 ,58.88 
McDonalds,2 piece Chicken StripsÂ ,regular,164.00 ,10.17 ,12.38 ,477.22 ,0.72 ,60.54 
